symbol,date,open,high,low,close,volume,adjclose,datetime,avg_volume,rvol,atr,noncomm_net_ratio_change,comm_net_ratio_change,nonrept_net_ratio_change,asset,dividends
GC=F,2024-07-26,2368.699951171875,2386.89990234375,2368.699951171875,2380.0,95.0,2380.0,2024-07-26 03:00:00+03:00,,,0.0,,,,GOLD - COMMODITY EXCHANGE INC.,
GC=F,2024-07-29,2377.300048828125,2377.300048828125,2377.300048828125,2377.300048828125,126409.0,2377.300048828125,2024-07-29 03:00:00+03:00,,,0.0,,,,GOLD - COMMODITY EXCHANGE INC.,
GC=F,2024-07-30,2380.89990234375,2409.300048828125,2373.800048828125,2405.0,25944.0,2405.0,2024-07-30 03:00:00+03:00,,,0.0,,,,GOLD - COMMODITY EXCHANGE INC.,
GC=F,2024-07-31,2407.10009765625,2447.60009765625,2402.800048828125,2426.5,1313.0,2426.5,2024-07-31 03:00:00+03:00,,,0.0,,,,GOLD - COMMODITY EXCHANGE INC.,
GC=F,2024-08-01,2446.699951171875,2455.10009765625,2430.39990234375,2435.0,690.0,2435.0,2024-08-01 03:00:00+03:00,30890.2,0.02233718137143819,0.0,,,,GOLD - COMMODITY EXCHANGE INC.,
GC=F,2024-08-02,2444.0,2477.0,2416.0,2425.699951171875,550.0,2425.699951171875,2024-08-02 03:00:00+03:00,30981.2,0.01775270163841297,0.0,,,,GOLD - COMMODITY EXCHANGE INC.,
GC=F,2024-08-05,2442.0,2449.800048828125,2367.39990234375,2401.699951171875,334.0,2401.699951171875,2024-08-05 03:00:00+03:00,5766.2,0.05792376261662794,0.0,,,,GOLD - COMMODITY EXCHANGE INC.,
GC=F,2024-08-06,2414.5,2421.800048828125,2380.0,2389.10009765625,163.0,2389.10009765625,2024-08-06 03:00:00+03:00,610.0,0.26721311475409837,0.0,,,,GOLD - COMMODITY EXCHANGE INC.,
GC=F,2024-08-07,2392.199951171875,2401.0,2384.5,2390.5,130.0,2390.5,2024-08-07 03:00:00+03:00,373.4,0.34815211569362614,0.0,,,,GOLD - COMMODITY EXCHANGE INC.,
GC=F,2024-08-08,2384.300048828125,2422.800048828125,2384.300048828125,2422.199951171875,201.0,2422.199951171875,2024-08-08 03:00:00+03:00,275.6,0.7293178519593614,0.0,,,,GOLD - COMMODITY EXCHANGE INC.,
